"","Ind","house","age","sex","income"
"86","ind190","66","18-19","m",NA
"87","ind194","40","18-19","m",NA
"88","ind195","131","18-19","m",NA
"89","ind196","59","18-19","m",NA
"90","ind198","38","18-19","m",NA
"91","ind199","94","18-19","m","$75,000 to $99,999"
"92","ind20","135","18-19","m",NA
"93","ind331","120","0-4","f",NA
"94","ind332","108","0-4","f","$20,000 to $24,999"
"95","ind333","99","0-4","f",NA
"96","ind334","95","0-4","f",NA
"97","ind335","99","0-4","f",NA
"98","ind336","84","0-4","f",NA
"99","ind337","84","0-4","f",NA
"100","ind338","72","0-4","f",NA
"101","ind339","88","0-4","f",NA
"102","ind34","106","0-4","f","$20,000 to $24,999"
"103","ind340","95","0-4","f",NA
"104","ind341","104","0-4","f","$20,000 to $24,999"
"105","ind342","101","0-4","f",NA
"106","ind343","66","0-4","f",NA
"107","ind344","96","0-4","f","$75,000 to $99,999"
"108","ind345","108","0-4","f","$20,000 to $24,999"
"109","ind346","100","0-4","f",NA
"110","ind347","82","0-4","f",NA
"111","ind348","116","0-4","f","$20,000 to $24,999"
"112","ind349","63","0-4","f",NA
"113","ind35","113","0-4","f",NA
"114","ind350","120","0-4","f",NA
"115","ind351","118","0-4","f",NA
"116","ind352","110","0-4","f",NA
"117","ind353","117","0-4","f","$20,000 to $24,999"
"118","ind354","87","0-4","f","$60,000 to $74,999"
"119","ind355","110","0-4","f",NA
"120","ind356","105","0-4","f","$20,000 to $24,999"
"121","ind357","76","5-9","f",NA
"122","ind358","71","5-9","f",NA
"123","ind359","97","5-9","f","$75,000 to $99,999"
"124","ind36","74","5-9","f","$60,000 to $74,999"
"125","ind360","100","5-9","f",NA
"126","ind361","118","5-9","f",NA
"127","ind362","93","5-9","f",NA
"128","ind363","103","5-9","f","$20,000 to $24,999"
"129","ind364","94","5-9","f","$75,000 to $99,999"
"130","ind365","68","5-9","f","$50,000 to $59,999"
"131","ind366","94","5-9","f","$75,000 to $99,999"
"132","ind367","117","5-9","f","$20,000 to $24,999"
"133","ind368","101","5-9","f",NA
"134","ind369","120","5-9","f",NA
"135","ind37","73","5-9","f",NA
"136","ind370","98","5-9","f","$75,000 to $99,999"
"137","ind371","80","5-9","f",NA
"138","ind372","106","5-9","f","$20,000 to $24,999"
"139","ind373","95","10-14","f",NA
"140","ind374","83","10-14","f","$60,000 to $74,999"
"141","ind375","69","10-14","f",NA
"142","ind376","119","10-14","f","$20,000 to $24,999"
"143","ind377","90","10-14","f","$60,000 to $74,999"
"144","ind378","89","15-17","f",NA
"145","ind379","106","15-17","f","$20,000 to $24,999"
"146","ind38","86","15-17","f",NA
"147","ind380","91","15-17","f","$75,000 to $99,999"
"148","ind381","121","15-17","f",NA
"149","ind382","112","15-17","f","$20,000 to $24,999"
"150","ind383","96","15-17","f","$75,000 to $99,999"
"151","ind384","120","15-17","f",NA
"152","ind385","103","15-17","f","$20,000 to $24,999"
"153","ind386","79","15-17","f",NA
"154","ind387","90","15-17","f","$60,000 to $74,999"
"155","ind388","122","15-17","f","$20,000 to $24,999"
"156","ind389","109","15-17","f","$20,000 to $24,999"
"157","ind176","126","18-19","m",NA
"158","ind179","125","18-19","m",NA
"159","ind183","124","18-19","m","$25,000 to $29,999"
"160","ind187","135","18-19","m",NA
"161","ind189","91","18-19","m","$75,000 to $99,999"
"162","ind192","57","18-19","m","$20,000 to $24,999"
"163","ind203","48","20-20","m","$25,000 to $29,999"
"164","ind204","92","20-20","m",NA
"165","ind206","44","20-20","m",NA
"166","ind207","63","20-20","m",NA
"167","ind208","98","20-20","m","$75,000 to $99,999"
"168","ind209","99","20-20","m",NA
"169","ind211","123","20-20","m","$20,000 to $24,999"
"170","ind212","97","21-21","m","$75,000 to $99,999"
"171","ind213","96","21-21","m","$75,000 to $99,999"
"172","ind214","105","22-24","m","$20,000 to $24,999"
"173","ind215","77","22-24","m","$60,000 to $74,999"
"174","ind218","83","22-24","m","$60,000 to $74,999"
"175","ind22","106","22-24","m","$20,000 to $24,999"
"176","ind221","60","22-24","m","$50,000 to $59,999"
"177","ind222","62","22-24","m",NA
"178","ind224","134","25-29","m",NA
"179","ind226","75","25-29","m",NA
"180","ind227","49","25-29","m","$25,000 to $29,999"
"181","ind228","68","25-29","m","$50,000 to $59,999"
"182","ind231","50","25-29","m",NA
"183","ind232","88","30-34","m",NA
"184","ind233","85","30-34","m",NA
"185","ind234","130","30-34","m",NA
"186","ind235","42","30-34","m","$25,000 to $29,999"
"187","ind236","41","30-34","m",NA
"188","ind237","90","30-34","m","$60,000 to $74,999"
"189","ind238","53","30-34","m","$35,000 to $39,999"
"190","ind239","74","30-34","m","$60,000 to $74,999"
"191","ind240","71","30-34","m",NA
"192","ind241","82","30-34","m",NA
"193","ind242","87","30-34","m","$60,000 to $74,999"
"194","ind243","104","30-34","m","$20,000 to $24,999"
"195","ind244","70","30-34","m","$50,000 to $59,999"
"196","ind245","133","30-34","m",NA
"197","ind246","45","30-34","m",NA
"198","ind247","134","30-34","m",NA
"199","ind248","67","30-34","m",NA
"200","ind249","1","30-34","m","Less than $10,000"
"201","ind250","95","35-39","m",NA
"202","ind252","3","35-39","m","$25,000 to $29,999"
"203","ind253","43","35-39","m","$25,000 to $29,999"
"204","ind255","61","35-39","m",NA
"205","ind257","54","35-39","m","$35,000 to $39,999"
"206","ind258","134","35-39","m",NA
"207","ind259","78","40-44","m","$60,000 to $74,999"
"208","ind26","55","40-44","m","$35,000 to $39,999"
"209","ind262","131","40-44","m",NA
"210","ind263","103","40-44","m","$20,000 to $24,999"
"211","ind264","101","40-44","m",NA
"212","ind265","102","40-44","m","$20,000 to $24,999"
"213","ind268","39","40-44","m",NA
"214","ind269","52","40-44","m","$25,000 to $29,999"
"215","ind27","128","40-44","m",NA
"216","ind270","79","40-44","m",NA
"217","ind271","122","40-44","m","$20,000 to $24,999"
"218","ind272","93","40-44","m",NA
"219","ind273","81","40-44","m","$60,000 to $74,999"
"220","ind275","132","45-49","m",NA
"221","ind276","80","50-54","m",NA
"222","ind277","121","50-54","m",NA
"223","ind28","133","50-54","m",NA
"224","ind280","132","50-54","m",NA
"225","ind281","76","50-54","m",NA
"226","ind285","46","50-54","m",NA
"227","ind286","65","50-54","m",NA
"228","ind287","47","50-54","m",NA
"229","ind288","69","50-54","m",NA
"230","ind29","86","50-54","m",NA
"231","ind290","84","50-54","m",NA
"232","ind292","4","55-59","m",NA
"233","ind293","100","55-59","m",NA
"234","ind294","51","55-59","m",NA
"235","ind295","133","60-61","m",NA
"236","ind296","2","60-61","m",NA
"237","ind297","72","60-61","m",NA
"238","ind299","56","62-64","m",NA
"239","ind30","132","62-64","m",NA
"240","ind300","73","62-64","m",NA
"241","ind301","135","62-64","m",NA
"242","ind302","64","62-64","m",NA
"243","ind303","89","62-64","m",NA
"244","ind304","36","65-66","m",NA
"245","ind305","128","65-66","m",NA
"246","ind306","8","65-66","m",NA
"247","ind308","35","65-66","m",NA
"248","ind312","30","65-66","m",NA
"249","ind313","33","65-66","m",NA
"250","ind315","29","67-69","m",NA
"251","ind318","5","67-69","m",NA
"252","ind32","32","70-74","m",NA
"253","ind320","31","70-74","m",NA
"254","ind321","7","70-74","m",NA
"255","ind323","6","75-79","m",NA
"256","ind324","131","75-79","m",NA
"257","ind325","37","75-79","m",NA
"258","ind326","125","80-84","m",NA
"259","ind329","34","85-NA","m",NA
"260","ind39","43","18-19","f","$25,000 to $29,999"
"261","ind390","68","18-19","f","$50,000 to $59,999"
"262","ind392","87","18-19","f","$60,000 to $74,999"
"263","ind393","57","21-21","f","$20,000 to $24,999"
"264","ind396","52","22-24","f","$25,000 to $29,999"
"265","ind397","78","22-24","f","$60,000 to $74,999"
"266","ind398","133","22-24","f",NA
"267","ind399","89","22-24","f",NA
"268","ind4","127","22-24","f",NA
"269","ind40","134","22-24","f",NA
"270","ind400","11","22-24","f","$20,000 to $24,999"
"271","ind401","74","22-24","f","$60,000 to $74,999"
"272","ind402","55","25-29","f","$35,000 to $39,999"
"273","ind405","94","25-29","f","$75,000 to $99,999"
"274","ind406","81","25-29","f","$60,000 to $74,999"
"275","ind407","98","25-29","f","$75,000 to $99,999"
"276","ind408","42","25-29","f","$25,000 to $29,999"
"277","ind41","77","25-29","f","$60,000 to $74,999"
"278","ind410","119","25-29","f","$20,000 to $24,999"
"279","ind411","69","25-29","f",NA
"280","ind412","106","25-29","f","$20,000 to $24,999"
"281","ind413","108","25-29","f","$20,000 to $24,999"
"282","ind415","48","25-29","f","$25,000 to $29,999"
"283","ind416","54","25-29","f","$35,000 to $39,999"
"284","ind418","99","25-29","f",NA
"285","ind419","49","30-34","f","$25,000 to $29,999"
"286","ind42","53","30-34","f","$35,000 to $39,999"
"287","ind420","96","30-34","f","$75,000 to $99,999"
"288","ind422","107","30-34","f","$20,000 to $24,999"
"289","ind423","112","30-34","f","$20,000 to $24,999"
"290","ind424","90","30-34","f","$60,000 to $74,999"
"291","ind425","46","30-34","f",NA
"292","ind426","47","30-34","f",NA
"293","ind427","131","30-34","f",NA
"294","ind428","135","30-34","f",NA
"295","ind429","134","30-34","f",NA
"296","ind430","104","30-34","f","$20,000 to $24,999"
"297","ind431","129","30-34","f",NA
"298","ind433","134","30-34","f",NA
"299","ind435","103","30-34","f","$20,000 to $24,999"
"300","ind436","124","30-34","f",NA
"301","ind437","70","30-34","f","$50,000 to $59,999"
"302","ind438","102","30-34","f","$20,000 to $24,999"
"303","ind439","76","30-34","f",NA
"304","ind440","10","30-34","f","Less than $10,000"
"305","ind441","111","30-34","f","$20,000 to $24,999"
"306","ind442","130","30-34","f",NA
"307","ind443","91","30-34","f","$75,000 to $99,999"
"308","ind444","9","30-34","f","$60,000 to $74,999"
"309","ind445","60","30-34","f","$50,000 to $59,999"
"310","ind446","129","35-39","f",NA
"311","ind448","58","35-39","f","$50,000 to $59,999"
"312","ind449","97","40-44","f","$75,000 to $99,999"
"313","ind45","83","40-44","f","$60,000 to $74,999"
"314","ind450","116","40-44","f","$20,000 to $24,999"
"315","ind452","65","40-44","f",NA
"316","ind453","105","40-44","f","$20,000 to $24,999"
"317","ind454","117","40-44","f","$20,000 to $24,999"
"318","ind455","114","40-44","f","$20,000 to $24,999"
"319","ind456","16","40-44","f","$25,000 to $29,999"
"320","ind458","13","40-44","f","$25,000 to $29,999"
"321","ind46","109","40-44","f","$20,000 to $24,999"
"322","ind461","86","45-49","f",NA
"323","ind462","15","45-49","f",NA
"324","ind463","85","45-49","f",NA
"325","ind464","50","45-49","f",NA
"326","ind465","135","45-49","f",NA
"327","ind466","75","45-49","f",NA
"328","ind467","110","45-49","f",NA
"329","ind468","101","45-49","f",NA
"330","ind47","44","45-49","f",NA
"331","ind470","82","45-49","f",NA
"332","ind471","88","45-49","f",NA
"333","ind472","14","45-49","f",NA
"334","ind473","118","45-49","f",NA
"335","ind476","95","45-49","f",NA
"336","ind478","79","45-49","f",NA
"337","ind479","12","45-49","f",NA
"338","ind481","100","45-49","f",NA
"339","ind49","73","45-49","f",NA
"340","ind5","41","45-49","f",NA
"341","ind51","80","45-49","f",NA
"342","ind52","115","45-49","f",NA
"343","ind53","51","45-49","f",NA
"344","ind54","61","50-54","f",NA
"345","ind56","19","50-54","f",NA
"346","ind57","135","50-54","f",NA
"347","ind58","21","50-54","f",NA
"348","ind59","67","50-54","f",NA
"349","ind6","59","50-54","f",NA
"350","ind60","62","50-54","f",NA
"351","ind61","66","50-54","f",NA
"352","ind62","72","50-54","f",NA
"353","ind63","133","50-54","f",NA
"354","ind65","113","55-59","f",NA
"355","ind66","84","55-59","f",NA
"356","ind67","56","55-59","f",NA
"357","ind69","38","55-59","f",NA
"358","ind7","40","55-59","f",NA
"359","ind70","63","60-61","f",NA
"360","ind71","20","60-61","f",NA
"361","ind72","120","60-61","f",NA
"362","ind73","17","60-61","f",NA
"363","ind74","64","62-64","f",NA
"364","ind75","92","62-64","f",NA
"365","ind77","127","62-64","f",NA
"366","ind79","71","62-64","f",NA
"367","ind81","18","62-64","f",NA
"368","ind82","45","62-64","f",NA
"369","ind83","39","62-64","f",NA
"370","ind84","93","62-64","f",NA
"371","ind85","33","65-66","f",NA
"372","ind86","27","65-66","f",NA
"373","ind87","31","65-66","f",NA
"374","ind88","35","65-66","f",NA
"375","ind89","25","65-66","f",NA
"376","ind9","22","65-66","f",NA
"377","ind90","37","65-66","f",NA
"378","ind91","24","67-69","f",NA
"379","ind92","36","67-69","f",NA
"380","ind93","28","67-69","f",NA
"381","ind94","29","67-69","f",NA
"382","ind95","23","67-69","f",NA
"383","ind96","34","67-69","f",NA
"384","ind97","32","70-74","f",NA
"385","ind98","26","70-74","f",NA
"386","ind99","30","75-79","f",NA
